Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0007275~multicellular organism development	41	20.19704433497537	4.214431831126082E-13	NOTCH2, SEMA5B, DLX1, NOTCH1, NXN, LRP4, WNT8B, CELSR1, EGFR, SOX2, RELN, FLRT2, RACGAP1, PDPN, ZIC1, QK, HES5, NKX2-2, SEMA6A, EYA1, HEG1, SHROOM3, PAX6, OLIG1, SOX11, OLIG2, UNC5D, PROX1, MEIS2, HOPX, GADD45G, EDAR, SFRP1, LMX1A, SMOC1, ID3, ACKR3, LHX6, CSPG4, MKX, NEUROG2	191	1029	18082	3.7720859473183443	7.151848002706629E-10	7.151890817420962E-10	6.865309452904388E-10
GOTERM_BP_DIRECT	GO:0045665~negative regulation of neuron differentiation	12	5.911330049261084	4.0773221057735244E-10	SOX2, ASPM, ZHX2, NOTCH1, LMX1A, TRP73, CNTN2, HES1, PAX6, OLIG2, HES5, NKX2-2	191	76	18082	14.94791953706255	6.919212724998403E-7	3.4596078067488354E-7	3.3209788551525355E-7
GOTERM_BP_DIRECT	GO:0000122~negative regulation of transcription from RNA polymerase II promoter	30	14.77832512315271	6.467729555152188E-10	NOTCH2, DLX1, BTG2, NOTCH1, LEF1, ZBTB20, NPAS1, SOX2, EDNRB, CUX2, PRDM16, HES1, HMGN2, HES5, WWTR1, ZHX2, ZBTB16, TRP73, PAWR, SOX11, OLIG2, PROX1, CBFA2T3, HOPX, CDK6, MAF, NFIA, NFIB, ID3, MKX	191	729	18082	3.895891237368841	1.0975731256079868E-6	3.658579018364421E-7	3.5119771484476384E-7
GOTERM_BP_DIRECT	GO:0045944~positive regulation of transcription from RNA polymerase II promoter	33	16.25615763546798	1.4001824534629278E-8	NOTCH1, LEF1, CHD7, HMGB2, BRCA1, ETS1, EGFR, SOX2, ABLIM1, PLAGL1, ZIC1, HES1, TEAD1, HES5, NKX2-2, WWTR1, EYA1, BCL11B, CKAP2, TRP73, PAX6, NRG1, SOX11, PROX1, MEIS2, POU3F2, MAF, NFIA, LMX1A, NFIB, MKX, NEUROG2, CREB5	191	995	18082	3.1398142545186665	2.376081420063514E-5	5.940274058816471E-6	5.702243041727773E-6
GOTERM_BP_DIRECT	GO:0007049~cell cycle	25	12.31527093596059	3.1163391782959856E-8	CDCA8, BRCA1, KIF11, MKI67, BRINP1, RACGAP1, CLSPN, ECT2, DLGAP5, CEP55, SPAG5, UBE2C, CKAP2, TRP73, KIF23, CDC25C, NDC80, ASPM, TPX2, CDK6, PRC1, CKS2, BIRC5, GAS1, KIF20B	191	614	18082	3.8546480890905057	5.288287828530969E-5	9.96453128321718E-6	9.56524540975886E-6
GOTERM_BP_DIRECT	GO:0006351~transcription, DNA-templated	47	23.15270935960591	3.523110648161643E-8	NOTCH2, BTG2, NOTCH1, LEF1, CHD7, CDCA7, HMGB2, ZBTB20, BRCA1, NPAS1, ETS1, NPAS3, RAD54B, SOX2, CUX2, PRDM16, ZIC1, HES1, TEAD1, HES5, NKX2-2, WWTR1, ZHX2, EYA1, BCL11B, TRP73, PAWR, PAX6, OLIG1, SOX11, OLIG2, PROX1, MEIS2, CBFA2T3, POU3F2, HOPX, MAF, NFIA, LMX1A, NFIB, BIRC5, ID3, LHX6, SP8, SP9, NEUROG2, CREB5	191	1885	18082	2.3604760648270307	5.978540152562495E-5	9.96453128321718E-6	9.56524540975886E-6
GOTERM_BP_DIRECT	GO:0045893~positive regulation of transcription, DNA-templated	24	11.822660098522167	4.199985427448007E-8	NOTCH1, EYA1, TESC, ZBTB16, LEF1, HMGB2, TRP73, PAX6, SOX11, PROX1, BRCA1, MT3, ETS1, NPAS3, SOX2, SFRP1, NFIA, NFIB, PRDM16, ZIC1, CKS2, HES1, HES5, CREB5	191	576	18082	3.9445898778359507	7.127121426420135E-5	1.0181964671970383E-5	9.77396608758972E-6
GOTERM_BP_DIRECT	GO:0030154~cell differentiation	28	13.793103448275861	4.957172863125439E-8	NOTCH2, SEMA5B, DLX1, NOTCH1, NXN, LRP4, ETS1, RACGAP1, PRDM16, ZIC1, QK, ECT2, HES5, NKX2-2, SYT4, SEMA6A, TESC, PAX6, SOX11, CBFA2T3, GADD45G, EDAR, SFRP1, CDK6, SMOC1, LHX6, CSPG4, NEUROG2	191	780	18082	3.3984158947509733	8.411968727839447E-5	1.0515402935904836E-5	1.0094043242539175E-5
GOTERM_BP_DIRECT	GO:0006355~regulation of transcription, DNA-templated	52	25.615763546798032	8.561261405932023E-8	BTG2, CHD7, HMGB2, ZBTB20, BRCA1, ETS1, SOX2, GRM5, ZIC1, TEAD1, ZHX2, TRP73, PAWR, SOX11, PAX6, OLIG1, PROX1, OLIG2, POU3F2, CBFA2T3, MAF, LMX1A, BIRC5, CREB5, NOTCH2, DLX1, NOTCH1, LEF1, CDCA7, NPAS1, NPAS3, RAD54B, CUX2, PRDM16, HES1, HES5, NKX2-2, WWTR1, EYA1, BCL11B, ZBTB16, MEIS2, HOPX, LIN28B, NFIA, NFIB, ID3, LHX6, SP8, MKX, SP9, NEUROG2	191	2279	18082	2.1600913416144216	1.4527405906406E-4	1.614273400651849E-5	1.5495883144736964E-5
GOTERM_BP_DIRECT	GO:0010628~positive regulation of gene expression	19	9.35960591133005	2.3212925655735708E-7	TESC, LEF1, HMGB2, FN1, PAWR, WNT8B, PAX6, NRG1, SOX11, BRCA1, MT3, EDAR, MAF, CUX2, CDK6, HES1, QK, MKX, NKX2-2	191	399	18082	4.508102717526801	3.938458165277936E-4	3.9392334837783495E-5	3.781385589319347E-5
GOTERM_BP_DIRECT	GO:0050767~regulation of neurogenesis	7	3.4482758620689653	7.359285360787239E-7	SOX2, NOTCH1, CHD7, HMGB2, HES1, PAX6, HES5	191	31	18082	21.377132241175477	0.0012480916702397593	1.135337023386904E-4	1.0898432593384011E-4
