Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0007275~multicellular organism development	28	21.705426356589147	4.660188641934102E-10	SEMA5A, ROBO2, NOTCH1, TSHZ3, NXN, SATB2, CELSR1, EGFR, GLI2, SOX2, PRTG, NEUROD1, NHLH2, MDK, SOX6, HES5, CADM1, EYA1, HEG1, EBF2, PAX6, OLIG2, UNC5D, HOPX, GADD45G, LMX1A, ID3, NEUROG2	120	1029	18082	4.100226757369615	5.680768658811175E-7	4.634403730340445E-7	4.4785296097957705E-7
GOTERM_BP_DIRECT	GO:0045893~positive regulation of transcription, DNA-templated	21	16.27906976744186	1.0848340344593543E-9	TCF7L2, NOTCH1, EYA1, TESC, LEF1, HMGB2, EBF2, PAX6, BRCA1, ETS1, GLI3, GLI2, SOX2, NEUROD1, NFIA, MDFIC, MDK, PRDM16, SOX6, HES5, CREB5	120	576	18082	5.493663194444444	1.3224117728638518E-6	4.634403730340445E-7	4.4785296097957705E-7
GOTERM_BP_DIRECT	GO:0045944~positive regulation of transcription from RNA polymerase II promoter	27	20.930232558139537	1.140542345448838E-9	NOTCH1, SATB2, LEF1, CHD7, HMGB2, BRCA1, ETS1, EGFR, GLI3, GLI2, SOX2, NEUROD1, MYO6, SOX6, TEAD1, HES5, TCF7L2, EYA1, EBF2, PAX6, POU3F2, NFIA, LMX1A, RFX4, MAML3, NEUROG2, CREB5	120	995	18082	4.088894472361809	1.3903201312448488E-6	4.634403730340445E-7	4.4785296097957705E-7
GOTERM_BP_DIRECT	GO:0006351~transcription, DNA-templated	34	26.356589147286826	1.0056593244330369E-7	BTG2, NOTCH1, TSHZ3, SATB2, LEF1, CHD7, HMGB2, BRCA1, ETS1, GLI3, GLI2, SOX2, NEUROD1, NHLH2, PRDM16, SOX6, TEAD1, HES5, TCF7L2, ZHX2, EYA1, PAWR, EBF2, PAX6, OLIG2, POU3F2, HOPX, MDFIC, NFIA, LMX1A, RFX4, ID3, NEUROG2, CREB5	120	1885	18082	2.71789566755084	1.2258236401363476E-4	3.06474679120968E-5	2.9616667104552936E-5
GOTERM_BP_DIRECT	GO:0000122~negative regulation of transcription from RNA polymerase II promoter	20	15.503875968992247	2.8095203514195775E-7	TCF7L2, BTG2, ZHX2, NOTCH1, SATB2, LEF1, PAWR, OLIG2, GLI3, HOPX, GLI2, SOX2, CDK6, NFIA, PRDM16, ID3, HMGN2, SOX6, EZR, HES5	120	729	18082	4.133973479652492	3.4242193923050834E-4	6.849610616760931E-5	6.619229947944525E-5
GOTERM_BP_DIRECT	GO:0045165~cell fate commitment	8	6.2015503875969	4.629052316922613E-7	SOX2, NEUROD1, NOTCH1, EYA1, GAS1, PAX6, SOX6, NEUROG2	120	72	18082	16.74259259259259	5.641224311239146E-4	9.404691290547775E-5	9.088372715558064E-5
GOTERM_BP_DIRECT	GO:0007411~axon guidance	10	7.751937984496124	6.152990266344856E-7	ROBO2, SEMA5A, LMX1A, BOC, GAS1, PAX6, UNC5D, NEUROG2, GLI3, GLI2	120	149	18082	10.112975391498882	7.497685272042087E-4	1.0243297686467624E-4	9.898773318013831E-5
GOTERM_BP_DIRECT	GO:0045665~negative regulation of neuron differentiation	8	6.2015503875969	6.722426701537407E-7	SOX2, ZHX2, NOTCH1, LMX1A, PAX6, OLIG2, HES5, GLI3	120	76	18082	15.861403508771929	8.191284214071892E-4	1.0243297686467624E-4	9.898773318013831E-5
GOTERM_BP_DIRECT	GO:0050767~regulation of neurogenesis	6	4.651162790697675	1.68105119285653E-6	SOX2, NOTCH1, CHD7, HMGB2, PAX6, HES5	120	31	18082	29.16451612903226	0.002047104943154743	2.0678913122718995E-4	1.9983395946319093E-4
GOTERM_BP_DIRECT	GO:0043586~tongue development	5	3.875968992248062	1.6963833570729281E-6	SOX2, PRDM16, LEF1, EGFR, GLI3	120	14	18082	53.81547619047618	0.002065756448451306	2.0678913122718995E-4	1.9983395946319093E-4
