Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0007275~multicellular organism development	34	23.12925170068027	3.0285662754986406E-13	NOTCH2, ROBO2, SEMA5B, DLX1, NOTCH1, SEMA3C, SATB2, LRP4, CELSR1, ASCL1, COL19A1, SOX2, MDK, FLRT1, ZIC1, HIVEP2, SOX6, HES5, EOMES, EPHA4, CCBE1, MEF2C, HEG1, SHROOM3, ISLR2, PAX6, OLIG1, SOX11, OLIG2, UNC5D, PROX1, GADD45G, ID3, NEUROG2	133	1029	18082	4.492192580576806	4.1311309928460105E-10	2.476287566588961E-10	2.3328662192571955E-10
GOTERM_BP_DIRECT	GO:0000122~negative regulation of transcription from RNA polymerase II promoter	29	19.727891156462583	3.630920185614312E-13	NOTCH2, DLX1, BTG2, NOTCH1, SATB2, LEF1, ASCL1, GLI3, SOX2, CUX2, PRDM16, HES1, SOX9, SOX6, HMGN2, HES5, EOMES, ZHX2, MEF2C, NR2F1, SOX11, OLIG2, NR2F2, PROX1, ZEB2, CDK6, MAF, NFIA, ID3	133	729	18082	5.4083562816506285	4.951905552275093E-10	2.476287566588961E-10	2.3328662192571955E-10
GOTERM_BP_DIRECT	GO:0045893~positive regulation of transcription, DNA-templated	23	15.646258503401361	1.8792258174329896E-10	EOMES, AFAP1L2, MEF2C, NOTCH1, TFAP2D, TESC, LEF1, PAX6, SOX11, NR2F2, PROX1, BRCA1, GLI3, SOX2, NFIA, MDK, PRDM16, ZIC1, HES1, LHX5, SOX9, SOX6, HES5	133	576	18082	5.42875417710944	2.563263477028954E-7	8.544213383261993E-8	8.049350584671306E-8
GOTERM_BP_DIRECT	GO:0007411~axon guidance	13	8.843537414965986	9.375079034411331E-10	ROBO2, EPHA4, LAMA2, SEMA3C, PTPRO, PAX6, UNC5D, NTN1, GLI3, BOC, GAS1, CNTN2, NEUROG2	133	149	18082	11.861835797547561	1.2787598892005647E-6	2.6520635450583E-7	2.498461624193486E-7
GOTERM_BP_DIRECT	GO:0006351~transcription, DNA-templated	40	27.2108843537415	9.72164056106415E-10	NOTCH2, BTG2, KHDRBS2, NOTCH1, SATB2, LEF1, BRCA1, ASCL1, GLI3, SOX2, CUX2, SALL3, PRDM16, ZIC1, HES1, SOX9, HIVEP2, SOX6, HES5, EOMES, ZHX2, MEF2C, TFAP2D, PCGF5, NR2F1, PAX6, OLIG1, SOX11, OLIG2, NR2F2, PROX1, POU3F2, ZFHX4, ZEB2, MAF, NFIA, RFX4, ID3, LHX5, NEUROG2	133	1885	18082	2.884984344149498	1.3260308392437636E-6	2.6520635450583E-7	2.498461624193486E-7
GOTERM_BP_DIRECT	GO:0045944~positive regulation of transcription from RNA polymerase II promoter	28	19.047619047619047	2.56898923971179E-9	NOTCH1, SATB2, LEF1, BRCA1, LDB2, ASCL1, GLI3, SOX2, ZIC1, HES1, SOX9, SOX6, HES5, CDON, EOMES, MEF2C, TFAP2D, PCGF5, NR2F1, PAX6, SOX11, PROX1, POU3F2, ZEB2, MAF, NFIA, RFX4, NEUROG2	133	995	18082	3.8258661729701138	3.504095193340717E-6	5.84016887161147E-7	5.501918621716084E-7
GOTERM_BP_DIRECT	GO:0045665~negative regulation of neuron differentiation	10	6.802721088435375	4.214613588233602E-9	SOX2, ZHX2, NOTCH1, CNTN2, HES1, PAX6, OLIG2, ASCL1, HES5, GLI3	133	76	18082	17.888800949742777	5.7487163663827445E-6	8.212475620500906E-7	7.73682637268597E-7
GOTERM_BP_DIRECT	GO:0001764~neuron migration	11	7.482993197278912	2.457794964284129E-8	MEF2C, CXCL12, SATB2, NR2F1, CNTN2, PAX6, NR2F2, ASCL1, CELSR1, NTN1, NEUROG2	133	124	18082	12.06051418869755	3.352376183551886E-5	4.19054041410444E-6	3.947833161381382E-6
GOTERM_BP_DIRECT	GO:0030154~cell differentiation	23	15.646258503401361	4.8514400508040074E-8	ROBO2, NOTCH2, EOMES, SEMA5B, DLX1, MEF2C, NOTCH1, SEMA3C, TESC, LRP4, PAX6, SOX11, ASCL1, DLK1, COL19A1, GADD45G, CDK6, MDK, PRDM16, ZIC1, SOX9, HES5, NEUROG2	133	780	18082	4.00892616155774	6.617145445564354E-5	7.184202882652968E-6	6.768109020681132E-6
GOTERM_BP_DIRECT	GO:0045165~cell fate commitment	9	6.122448979591836	5.2670109110359E-8	SOX2, MEF2C, NOTCH1, GAS1, HES1, PAX6, SOX9, SOX6, NEUROG2	133	72	18082	16.994360902255636	7.183945021338456E-5	7.184202882652968E-6	6.768109020681132E-6
GOTERM_BP_DIRECT	GO:0006355~regulation of transcription, DNA-templated	41	27.89115646258503	6.12364811924487E-8	NOTCH2, DLX1, BTG2, KHDRBS2, NOTCH1, SATB2, LEF1, BRCA1, ASCL1, GLI3, SOX2, CUX2, SALL3, PRDM16, ZIC1, HES1, SOX9, HIVEP2, SOX6, HES5, EOMES, ZHX2, MEF2C, TFAP2D, PCGF5, NR2F1, PAX6, OLIG1, SOX11, OLIG2, NR2F2, PROX1, POU3F2, ZFHX4, ZEB2, MAF, NFIA, RFX4, ID3, LHX5, NEUROG2	133	2279	18082	2.4458755488985737	8.352307469405851E-5	7.593323667863638E-6	7.153534393845143E-6
GOTERM_BP_DIRECT	GO:0050767~regulation of neurogenesis	7	4.761904761904762	8.556840743404506E-8	SOX2, EOMES, NOTCH1, HES1, PAX6, ASCL1, HES5	133	31	18082	30.69949066213922	1.1670850181655368E-4	9.726275645003123E-6	9.162950296062325E-6
GOTERM_BP_DIRECT	GO:0048709~oligodendrocyte differentiation	7	4.761904761904762	1.5352158286280108E-7	NOTCH1, OLIG1, OLIG2, SOX9, ASCL1, SOX6, GLI3	133	34	18082	27.990712074303403	2.0938153176375263E-4	1.6107956848066204E-5	1.5175017998361491E-5
GOTERM_BP_DIRECT	GO:0006357~regulation of transcription from RNA polymerase II promoter	16	10.884353741496598	2.1252617737620853E-7	NOTCH2, EOMES, DLX1, ZHX2, NOTCH1, LEF1, PAX6, NR2F2, LDB2, ASCL1, POU3F2, SOX2, RFX4, HES1, SOX9, HMGN2	133	397	18082	5.4792901649589965	2.8984372386275936E-4	2.0706121852939175E-5	1.9506866994887713E-5
GOTERM_BP_DIRECT	GO:0030182~neuron differentiation	10	6.802721088435375	3.8342041097069884E-7	PTPRD, BTG2, MEF2C, NOTCH1, ID3, OLIG2, ASCL1, POU3F2, NEUROG2, HES5	133	127	18082	10.70510922976733	5.228488077331228E-4	3.4865696037602215E-5	3.28463485398232E-5
GOTERM_BP_DIRECT	GO:0021879~forebrain neuron differentiation	5	3.4013605442176873	1.2835688063684759E-6	SOX2, DLX1, LEF1, LHX5, ASCL1	133	12	18082	56.64786967418546	0.001749257238524149	1.0942424074291257E-4	1.0308661976146822E-4
