Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0045893~positive regulation of transcription, DNA-templated	31	12.062256809338521	7.901277987989002E-11	NOTCH1, LEF1, BRCA1, GLI3, GLI2, SOX2, NEUROD1, MDK, PRDM16, HES1, SOX9, SOX6, HES5, EOMES, TCF7L2, AFAP1L2, TESC, ATAD2, TRP73, PAX6, EBF3, NR2F2, BMP7, MT3, SFRP1, MDFIC, NFIB, LHX5, ZFPM2, PLCB1, CREB5	234	576	18082	4.158817070275403	1.5928978469581523E-7	1.592897642378583E-7	1.5233663960842796E-7
GOTERM_BP_DIRECT	GO:0045892~negative regulation of transcription, DNA-templated	30	11.673151750972762	4.174919121563816E-10	NOTCH1, TSHZ3, LEF1, ZBTB20, BRCA1, PRICKLE1, GLI3, DACH1, PRDM16, HES1, SOX9, SOX6, HES5, TCF7L2, ZHX2, TCF7L1, NRG1, NR2F2, BMP7, MT3, CBFA2T3, FOXP2, SFRP1, CENPF, ZEB1, MDFIC, ID3, ZFPM2, PLCB1, LHX9	234	579	18082	4.003808511580532	8.416633766605841E-7	3.0092347704582574E-7	2.8778792844461904E-7
GOTERM_BP_DIRECT	GO:0045944~positive regulation of transcription from RNA polymerase II promoter	40	15.56420233463035	4.47802793222955E-10	TOP2A, NOTCH1, MAML2, SATB2, LEF1, CHD7, BRCA1, EGFR, GLI3, GLI2, SOX2, NEUROD1, PLAGL1, HES1, SOX9, SOX6, TEAD1, HES5, CDON, EOMES, TCF7L2, WWTR1, PCGF5, ATAD2, NR2F1, TRP73, PAX6, EBF3, NRG1, MEIS2, BMP7, POU3F2, RGCC, ZEB1, NFIB, RFX4, MAML3, ZFPM2, NEUROG2, CREB5	234	995	18082	3.106472533608212	9.02770027066957E-7	3.0092347704582574E-7	2.8778792844461904E-7
GOTERM_BP_DIRECT	GO:0007275~multicellular organism development	40	15.56420233463035	1.1706415515959353E-9	NOTCH2, ROBO2, SEMA5B, NOTCH1, ZFP521, TSHZ3, NXN, SATB2, LRP4, WNT8B, CELSR1, EGFR, GLI2, SOX2, NEUROD1, DACH1, FLRT2, MDK, FLRT1, QK, SOX6, HES5, NTNG1, EOMES, EPHA4, CADM1, SIAH3, HEG1, SHROOM3, PAX6, EBF3, UNC5D, MEIS2, BMP7, HOPX, GADD45G, EDAR, SFRP1, ID3, NEUROG2	234	1029	18082	3.0038291262781063	2.3600106492382977E-6	5.297611721835153E-7	5.066366765723301E-7
GOTERM_BP_DIRECT	GO:0000122~negative regulation of transcription from RNA polymerase II promoter	33	12.840466926070038	1.3138917960900676E-9	NOTCH2, BTG2, NOTCH1, SATB2, LEF1, ZBTB20, GLI3, GLI2, SOX2, DACH1, EDNRB, PRDM16, HES1, SOX9, SOX6, HES5, EOMES, TCF7L2, WWTR1, ZHX2, ZFP536, NR2F1, TRP73, NR2F2, CBFA2T3, HOPX, FOXP2, CDK6, ZEB1, NFIB, ID3, EZR, ZFPM2	234	729	18082	3.497977559705955	2.6488023083803824E-6	5.297611721835153E-7	5.066366765723301E-7
GOTERM_BP_DIRECT	GO:0090090~negative regulation of canonical Wnt signaling pathway	13	5.058365758754864	7.675023900881872E-9	TCF7L2, WWTR1, NOTCH1, LEF1, LRP4, PRICKLE1, GLI3, SOX2, SFRP1, ZNRF3, RGS20, SOX9, ANKRD6	234	102	18082	9.848583877995642	1.5472728638110667E-5	2.5788080306963093E-6	2.466241013483375E-6
GOTERM_BP_DIRECT	GO:0007507~heart development	18	7.003891050583658	5.13273924670419E-8	ROBO2, TGFB2, NOTCH1, SPARC, HEG1, NRG1, PTN, GLI3, HOPX, ZFP36L1, GLI2, CENPF, PDLIM3, ID3, SOX9, ZFPM2, TEAD1, ADAMTS6	234	261	18082	5.329207191276157	1.0347067237026497E-4	1.4782289030508067E-5	1.4137030382350971E-5
GOTERM_BP_DIRECT	GO:0006351~transcription, DNA-templated	53	20.622568093385212	8.332200425500795E-8	BTG2, ZFP521, BNC2, CDCA7L, CHD7, ZBTB20, BRCA1, GLI3, GLI2, SOX2, DACH1, SALL3, SOX9, SOX6, TEAD1, EOMES, ZHX2, LMO3, ZFP536, TRP73, EBF3, PAX6, POU3F2, CBFA2T3, FOXP2, ZEB1, MDFIC, RFX4, ZFPM2, CREB5, NOTCH2, NOTCH1, TSHZ3, SATB2, LEF1, RAD54B, NEUROD1, PRDM16, HES1, HES5, TCF7L2, WWTR1, TCF7L1, PCGF5, ATAD2, NR2F1, NR2F2, MEIS2, HOPX, NFIB, ID3, LHX5, NEUROG2	234	1885	18082	2.1726767779818177	1.6796306028465935E-4	2.0997145072262003E-5	2.0080603025456915E-5
GOTERM_BP_DIRECT	GO:0021915~neural tube development	9	3.501945525291829	2.663062481233074E-7	TCF7L2, SFRP1, NOTCH1, HES1, PHGDH, HES5, GLI3, ZFP36L1, GLI2	234	51	18082	13.636500754147814	5.36729377013101E-4	5.965259957962086E-5	5.704871626463741E-5
GOTERM_BP_DIRECT	GO:0007155~cell adhesion	23	8.949416342412452	3.4045755877716125E-7	EPHA4, ITGB5, CADM1, MEGF10, TTYH1, COL12A1, TNC, CELSR1, CDH9, IGSF11, BCAN, MFAP4, FLRT2, BOC, FLRT1, CD9, HES1, PGM5, NCAM2, PLCB1, MFGE8, HES5, CDON	234	485	18082	3.664516697506388	6.861270625052596E-4	6.467686041011512E-5	6.1853664122372E-5
GOTERM_BP_DIRECT	GO:0045165~cell fate commitment	10	3.8910505836575875	3.5289953596789E-7	SOX2, NEUROD1, NOTCH1, GAS1, WNT8B, HES1, PAX6, SOX9, SOX6, NEUROG2	234	72	18082	10.732431149097815	7.111925725556967E-4	6.467686041011512E-5	6.1853664122372E-5
GOTERM_BP_DIRECT	GO:0045665~negative regulation of neuron differentiation	10	3.8910505836575875	5.648997629216134E-7	SOX2, ZHX2, NOTCH1, ZFP536, TRP73, HES1, PAX6, BMP7, HES5, GLI3	234	76	18082	10.167566351776877	0.0011381900136333556	7.809169697853338E-5	7.468293242788312E-5
GOTERM_BP_DIRECT	GO:0008284~positive regulation of cell proliferation	24	9.33852140077821	5.885221007627431E-7	NOTCH2, WWTR1, TGFB2, NOTCH1, CDCA7L, LEF1, TNC, NRG1, PTN, POU3F2, CLU, EGFR, GLI2, CST3, CENPF, SFRP1, EDNRB, CCND2, PRC1, BCL2, GAS1, HES1, SOX9, HES5	234	542	18082	3.421704986280632	0.0011857573377201946	7.809169697853338E-5	7.468293242788312E-5
GOTERM_BP_DIRECT	GO:0030324~lung development	12	4.669260700389105	6.05187569773814E-7	NOTCH1, SPARC, TSHZ3, NFIB, HEG1, HES1, PTN, ZFPM2, EGFR, GLI3, FOXP2, GLI2	234	124	18082	7.47808105872622	0.001219314540955474	7.809169697853338E-5	7.468293242788312E-5
GOTERM_BP_DIRECT	GO:0008285~negative regulation of cell proliferation	20	7.782101167315175	6.160221538995899E-7	NOTCH2, BTG2, TGFB2, NOTCH1, TESC, PAX6, SSTR2, BMP7, CBFA2T3, GLI3, RERG, BRIP1, SFRP1, RGCC, ZEB1, NFIB, BCL2, HIST1H2AE, CD9, SOX9	234	384	18082	4.024661680911681	0.0012411302049236683	7.809169697853338E-5	7.468293242788312E-5
