Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0007049~cell cycle	39	14.130434782608695	1.472434166742869E-14	CDCA2, CCNF, BRCA1, KIF11, MKI67, SMC4, CDC14A, CDC20, CCNB1, RACGAP1, MIS18BP1, NUSAP1, KNTC1, CLSPN, ECT2, DLGAP5, CEP55, STARD13, SPAG5, UBE2C, CKAP2, HMGA2, KIF23, ESCO2, CDC25C, NDC80, CIT, PARD3B, ASPM, TPX2, RBL1, RGCC, PRC1, INCENP, CKS2, PMP22, BIRC5, GAS1, KIF20B	256	614	18082	4.486449002442996	3.031452866508744E-11	3.0229073443231105E-11	2.888915835149509E-11
GOTERM_BP_DIRECT	GO:0051301~cell division	30	10.869565217391305	9.273787565094974E-14	CDCA2, CCNF, KIF14, KIF11, SMC4, CDC14A, CDC20, CCNB1, RACGAP1, MIS18BP1, NUSAP1, KNTC1, ECT2, CEP55, SPAG5, UBE2C, HMGA2, KIF23, CDC25C, NDC80, CIT, PARD3B, ASPM, TPX2, KIFC1, PRC1, INCENP, CKS2, BIRC5, KIF20B	256	374	18082	5.665733622994653	1.9032053710787977E-10	9.519542935569991E-11	9.09758560135817E-11
GOTERM_BP_DIRECT	GO:0007067~mitotic nuclear division	23	8.333333333333332	6.567196073668706E-11	CDCA2, SPAG5, UBE2C, TTYH1, CCNF, HMGA2, KIF23, KIF11, CDC25C, SMC4, NDC80, CIT, CDC20, TPX2, ASPM, CCNB1, MIS18BP1, INCENP, NUSAP1, BIRC5, KNTC1, KIF20B, CEP55	256	277	18082	5.864818366425993	1.3482442695611496E-7	4.494151179747285E-8	4.294946232179334E-8
GOTERM_BP_DIRECT	GO:0045665~negative regulation of neuron differentiation	13	4.710144927536232	6.664264699015728E-10	ZHX2, NOTCH1, PAX6, BMP7, GLI3, CIT, SOX2, ASPM, LMX1A, CNTN2, HES1, HES5, NKX2-2	256	76	18082	12.081928453947368	1.368172606541762E-6	3.4204338567698225E-7	3.2688218348672144E-7
GOTERM_BP_DIRECT	GO:0007275~multicellular organism development	42	15.217391304347828	1.5373097971692677E-9	NOTCH2, SEMA5B, NOTCH1, SERPINE2, NXN, SATB2, LRP4, CELSR1, EGFR, COL19A1, GLI2, SOX2, PRTG, RACGAP1, MDK, PDPN, QK, OTX2, SOX6, HES5, NKX2-2, NTNG2, PDGFRA, WNT5B, EYA1, H2AFZ, HEG1, SHROOM3, PAX6, OLIG1, UNC5D, BMP7, HOPX, GADD45G, CIT, EDAR, ANO1, SFRP1, LMX1A, SMOC1, ID3, CSPG4	256	1029	18082	2.88297193877551	3.156092113210107E-6	6.312194027177014E-7	6.032403644092206E-7
GOTERM_BP_DIRECT	GO:0045893~positive regulation of transcription, DNA-templated	29	10.507246376811594	1.2752850779032372E-8	NOTCH1, LEF1, HMGB2, BRCA1, GLI3, GLI2, NPAS3, SOX2, MDK, PRDM16, HES1, OTX2, SOX9, SOX6, HES5, TCF7L2, AFAP1L2, EYA1, TESC, ATAD2, PAX6, BMP7, MT3, SOX10, SFRP1, MDFIC, NFIA, CKS2, CREB5	256	576	18082	3.5561659071180554	2.618126007369881E-5	4.140360121532058E-6	3.956837096174329E-6
GOTERM_BP_DIRECT	GO:0008284~positive regulation of cell proliferation	28	10.144927536231885	1.4117155796748371E-8	NOTCH2, CALCRL, NOTCH1, CDCA7L, LEF1, RTKN2, KIF14, CLU, EGFR, GLI2, CST3, CDC20, EDNRB, ENPP2, HAS2, HES1, SOX9, HES5, PDGFRA, WWTR1, HMGA2, SFRP1, FGF15, CENPF, PRC1, BCL2, GAS1, KIF20B	256	542	18082	3.6489275830258303	2.8982101026975293E-5	4.140360121532058E-6	3.956837096174329E-6
GOTERM_BP_DIRECT	GO:0045944~positive regulation of transcription from RNA polymerase II promoter	39	14.130434782608695	2.078632142024523E-8	TOP2A, NOTCH1, MAML2, SATB2, LEF1, CHD7, HMGB2, BRCA1, EGFR, GLI3, GLI2, SOX2, PLAGL1, MYO6, HES1, OTX2, SOX9, SOX6, TEAD1, HES5, CDON, NKX2-2, TCF7L2, WWTR1, EYA1, H2AFZ, PCGF5, ATAD2, CKAP2, HMGA2, PAX6, BMP7, SOX10, RGCC, ZEB1, NFIA, LMX1A, RFX4, CREB5	256	995	18082	2.768522298994975	4.2673407827931165E-5	4.7879380433001635E-6	4.575710882101764E-6
GOTERM_BP_DIRECT	GO:0090090~negative regulation of canonical Wnt signaling pathway	13	4.710144927536232	2.09894994591824E-8	TCF7L2, WWTR1, NOTCH1, WNT5B, LEF1, LRP4, SOX10, GLI3, SOX2, SFRP1, ZNRF3, RGS20, SOX9	256	102	18082	9.002221200980392	4.3090514444954486E-5	4.7879380433001635E-6	4.575710882101764E-6
GOTERM_BP_DIRECT	GO:0030154~cell differentiation	32	11.594202898550725	1.9961450551214837E-7	NOTCH2, SEMA5B, NOTCH1, SERPINE2, NXN, LRP4, COL19A1, GLI2, CDC20, RACGAP1, MDK, PRDM16, RGS20, QK, OTX2, SOX9, ECT2, HES5, NKX2-2, NTNG2, TESC, PAX6, BMP7, SOX10, GADD45G, CIT, EDAR, SFRP1, ZEB1, SMOC1, PMP22, CSPG4	256	780	18082	2.8977564102564104	4.0972466057020984E-4	4.098085798164406E-5	3.916436598148351E-5
