Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0045944~positive regulation of transcription from RNA polymerase II promoter	38	17.75700934579439	7.661145835861928E-11	DLX2, NOTCH1, MAML2, CHD7, HMGB2, BRCA1, LDB2, GLI3, GLI2, SOX2, PLAGL1, MYO6, ZIC1, HES1, SOX9, SOX6, TEAD1, HES5, CDON, WWOX, TCF7L2, WWTR1, EYA1, PCGF5, ATAD2, PBX3, HMGA2, EBF3, ETV1, TBR1, BMP7, RGCC, NFIA, NFIB, RFX4, MAML3, NEUROG2, CREB5	202	995	18082	3.4186576446589383	1.352958909350832E-7	1.3529583546132165E-7	1.3039270212637E-7
GOTERM_BP_DIRECT	GO:0045893~positive regulation of transcription, DNA-templated	28	13.084112149532709	2.6906744580698725E-10	NOTCH1, HMGB2, BRCA1, GLI3, GLI2, NPAS3, SOX2, MDK, PRDM16, ZIC1, HES1, SOX9, SOX6, HES5, TCF7L2, AFAP1L2, EYA1, ATAD2, EBF3, ETV1, BMP7, MT3, SFRP1, NFIA, NFIB, LHX1, CKS2, CREB5	202	576	18082	4.351416391639164	4.7517297740995446E-7	2.3758655464756973E-7	2.2897639638174613E-7
GOTERM_BP_DIRECT	GO:0035019~somatic stem cell population maintenance	10	4.672897196261682	1.6723857493208445E-9	SOX2, TCF7L2, TCF7L1, SFRP1, ZHX2, PRDM16, HMGA2, HES1, SOX9, LDB2	202	46	18082	19.459750322858373	2.953428938079483E-6	9.84477744433537E-7	9.488001817813592E-7
GOTERM_BP_DIRECT	GO:0007275~multicellular organism development	36	16.822429906542055	2.848428912873129E-9	NOTCH2, SEMA5B, DLX1, DLX2, NOTCH1, NXN, TSHZ1, LRP4, WNT8B, CELSR1, GLI2, SOX2, MDK, ZIC1, QK, SOX6, HES5, EPHA4, HELLS, EYA1, HEG1, SHROOM3, ISLR2, EBF3, OLIG1, OLIG2, UNC5D, BMP7, HOPX, EDAR, ANO1, SFRP1, SMOC1, LHX1, ID3, NEUROG2	202	1029	18082	3.1317149207632133	5.030312858145258E-6	1.2575813650334865E-6	1.2120065024275162E-6
GOTERM_BP_DIRECT	GO:0007049~cell cycle	27	12.616822429906541	5.014734436512428E-9	CDCA2, CDCA8, BRCA1, MKI67, SMC4, CDC14A, CCNB1, CCND2, KNTC1, CLSPN, HELLS, SPAG5, UBE2C, HMGA2, KIF23, CDC25C, NDC80, TPX2, RBL1, CDK6, RGCC, PRC1, CKS2, PMP22, BIRC5, GAS1, KIF20B	202	614	18082	3.9363208307801463	8.855981767919019E-6	1.7712042029761897E-6	1.7070156021888305E-6
GOTERM_BP_DIRECT	GO:0051301~cell division	21	9.813084112149532	7.331813828119224E-9	HELLS, CDCA2, SPAG5, UBE2C, HMGA2, CDCA8, KIF23, CDC25C, SMC4, NDC80, CDC14A, TPX2, CCNB1, CDK6, CCND2, KIFC1, PRC1, CKS2, BIRC5, KNTC1, KIF20B	202	374	18082	5.02623497643882	1.2947899433624066E-5	2.157997203409758E-6	2.0797911892431536E-6
GOTERM_BP_DIRECT	GO:0000122~negative regulation of transcription from RNA polymerase II promoter	28	13.084112149532709	4.1082323483554365E-8	NOTCH2, DLX1, BTG2, DLX2, NOTCH1, GLI3, GLI2, SOX2, EDNRB, PRDM16, HES1, SOX9, SOX6, HMGN2, HES5, TCF7L2, WWTR1, ZHX2, HMGA2, OLIG2, HOPX, FOXP2, RBL1, CDK6, NFIA, NFIB, ID3, EZR	202	729	18082	3.4381561612951423	7.254875288320584E-5	1.0364483324565286E-5	9.988873509858504E-6
GOTERM_BP_DIRECT	GO:0006351~transcription, DNA-templated	48	22.429906542056074	7.857438554803383E-8	NOTCH2, BTG2, NOTCH1, TSHZ1, CHD7, CDCA7, HMGB2, BRCA1, GLI3, GLI2, NPAS3, SOX2, SALL3, PRDM16, ZIC1, HES1, SOX9, SOX6, TEAD1, HES5, HELLS, TCF7L2, WWTR1, ZHX2, TCF7L1, EYA1, PCGF5, ATAD2, PBX3, HMGA2, EBF3, OLIG1, ETV1, TBR1, OLIG2, ZFHX4, HOPX, FOXP2, RBL1, NFIA, NFIB, RFX4, LHX1, BIRC5, ID3, SP9, NEUROG2, CREB5	202	1885	18082	2.279423273892376	1.3875274328678522E-4	1.734529560972847E-5	1.6716700525344198E-5
GOTERM_BP_DIRECT	GO:0006357~regulation of transcription from RNA polymerase II promoter	20	9.345794392523365	1.0264785966775546E-7	NOTCH2, TCF7L2, DLX1, TCF7L1, DLX2, ZHX2, NOTCH1, TSHZ1, HMGB2, ETV1, LDB2, NPAS3, SOX2, BRIP1, RBL1, RFX4, CKS2, HES1, SOX9, HMGN2	202	397	18082	4.509564306556601	1.8125969993265656E-4	2.0141791130361792E-5	1.9411850794946644E-5
GOTERM_BP_DIRECT	GO:0007389~pattern specification process	9	4.205607476635514	2.4146684376389395E-7	EYA1, NRG3, LHX1, ZIC1, SHROOM3, HES1, BMP7, GLI3, GLI2	202	58	18082	13.890235575281666	4.2633958897120294E-4	4.264304460870367E-5	4.109765680861475E-5
