Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0007275~multicellular organism development	54	19.708029197080293	5.1505001852201603E-17	SEMA5A, SEMA5B, TENM4, CELSR1, GLI2, SOX2, DACH1, MDK, ZIC1, QK, SOX6, EOMES, HELLS, HEG1, SHROOM3, ISLR2, EBF3, PAX6, OLIG1, PROX1, OLIG2, CIT, ANO1, LMX1A, NOTCH2, DLX1, DLX2, NOTCH1, TSHZ3, SEMA3C, NXN, DLX5, TSHZ1, SATB2, LRP4, WNT8B, COL19A1, NEUROD1, FLRT2, PDPN, OTX2, HES5, NKX2-2, CADM1, EYA1, MEIS2, BMP7, HOPX, GADD45G, MEIS1, SMOC1, ETL4, ID3, NEUROG2	253	1029	18082	3.7506309130089077	1.057397688025699E-13	1.057397688025699E-13	1.0089829862846294E-13
GOTERM_BP_DIRECT	GO:0045944~positive regulation of transcription from RNA polymerase II promoter	50	18.248175182481752	6.926032505727096E-15	TOP2A, MAML2, CHD7, HMGB2, RORA, BRCA1, GLI3, GLI2, SOX2, ZIC1, SOX6, TEAD1, CDON, EOMES, EBF3, PAX6, NRG1, TBR1, PROX1, POU3F2, SOX10, FOXP1, ZEB1, LMX1A, RFX4, CREB5, DLX2, NOTCH1, DLX5, SATB2, LEF1, NEUROD1, PLAGL1, HES1, OTX2, HES5, NKX2-2, TCF7L2, WWTR1, EYA1, PCGF5, ATAD2, NR2F1, HMGA2, MEIS2, BMP7, MEIS1, NFIA, NFIB, NEUROG2	253	995	18082	3.5914751623731305	1.4131584791243768E-11	7.109572367128864E-12	6.784048839359691E-12
GOTERM_BP_DIRECT	GO:0006351~transcription, DNA-templated	67	24.45255474452555	8.956437850949083E-13	BTG2, CDCA7L, CHD7, HMGB2, RORA, BRCA1, GLI3, GLI2, SOX2, DACH1, SALL3, ZIC1, SOX6, TEAD1, EOMES, HELLS, ZHX2, LMO3, PAWR, EBF3, PAX6, OLIG1, TBR1, PROX1, OLIG2, POU3F2, SOX10, FOXP1, ZEB1, RBL1, LMX1A, RFX4, CREB5, NOTCH2, NOTCH1, TSHZ3, DLX5, TSHZ1, SATB2, LEF1, CDCA7, NLK, NPAS3, RAD54B, NEUROD1, PRDM16, HES1, HES5, NKX2-2, RUNX1T1, TCF7L2, WWTR1, TCF7L1, EYA1, PCGF5, ATAD2, NR2F1, HMGA2, NR2F2, MEIS2, HOPX, MEIS1, NFIA, NFIB, ID3, SP9, NEUROG2	253	1885	18082	2.5403256413751167	1.8387015243703786E-9	5.673622450958039E-10	5.413846264698879E-10
GOTERM_BP_DIRECT	GO:0045893~positive regulation of transcription, DNA-templated	35	12.773722627737227	1.1054305798262131E-12	NOTCH1, DLX5, LEF1, HMGB2, RORA, BRCA1, GLI3, GLI2, NPAS3, SOX2, NEUROD1, MDK, PRDM16, ZIC1, HES1, OTX2, SOX6, HES5, EOMES, TCF7L2, AFAP1L2, EYA1, TESC, ATAD2, PAX6, EBF3, NR2F2, PROX1, BMP7, MT3, SOX10, FOXP1, NFIA, NFIB, CREB5	253	576	18082	4.342816754501537	2.269486931716358E-9	5.673622450958039E-10	5.413846264698879E-10
GOTERM_BP_DIRECT	GO:0006355~regulation of transcription, DNA-templated	73	26.642335766423358	8.617997920386725E-12	BTG2, CDCA7L, CHD7, HMGB2, RORA, BRCA1, GLI3, GLI2, SOX2, GRM5, DACH1, SALL3, ZIC1, SOX6, TEAD1, EOMES, HELLS, ZHX2, LMO3, PAWR, EBF3, PAX6, OLIG1, TBR1, PROX1, OLIG2, POU3F2, SOX10, FOXP1, ZEB1, RBL1, LMX1A, RFX4, CREB5, NOTCH2, DLX1, DLX2, NOTCH1, TSHZ3, DLX5, TSHZ1, SATB2, LEF1, CDCA7, NLK, NPAS3, RAD54B, NEUROD1, PRDM16, RGS20, HES1, OTX2, HES5, NKX2-2, RUNX1T1, SAMD4, TCF7L2, WWTR1, TCF7L1, EYA1, PCGF5, ATAD2, NR2F1, HMGA2, NR2F2, MEIS2, HOPX, MEIS1, NFIA, NFIB, ID3, SP9, NEUROG2	253	2279	18082	2.289309332329726	1.7692744047614894E-8	3.5385499461107894E-9	3.376531585207519E-9
GOTERM_BP_DIRECT	GO:0000122~negative regulation of transcription from RNA polymerase II promoter	36	13.138686131386862	1.615518100268954E-10	NOTCH2, DLX1, BTG2, DLX2, NOTCH1, SATB2, LEF1, GLI3, GLI2, SOX2, DACH1, EDNRB, PRDM16, HES1, SOX6, HMGN2, HES5, EOMES, TCF7L2, WWTR1, ZHX2, NR2F1, HMGA2, PAWR, OLIG2, NR2F2, PROX1, HOPX, FOXP1, RBL1, CDK6, ZEB1, NFIA, NFIB, ID3, EZR	253	729	18082	3.529400283023472	3.31665732877795E-7	5.527764433086937E-8	5.274666597378134E-8
GOTERM_BP_DIRECT	GO:0045665~negative regulation of neuron differentiation	13	4.744525547445255	5.820962310463356E-10	ZHX2, NOTCH1, PAX6, OLIG2, BMP7, GLI3, CIT, SOX2, MEIS1, LMX1A, HES1, HES5, NKX2-2	253	76	18082	12.22519242770959	1.1950429081863945E-6	1.7072050890544672E-7	1.6290378808853878E-7
GOTERM_BP_DIRECT	GO:0006357~regulation of transcription from RNA polymerase II promoter	25	9.124087591240876	1.8103580456013256E-9	NOTCH2, DLX1, DLX2, NOTCH1, TSHZ3, TSHZ1, LEF1, HMGB2, NPAS3, SOX2, BRIP1, HES1, OTX2, HMGN2, EOMES, TCF7L2, ZHX2, TCF7L1, PAX6, NR2F2, POU3F2, MEIS1, RBL1, RFX4, PAM	253	397	18082	4.500652124132575	3.716658246388782E-6	4.645831334524402E-7	4.433114264166246E-7
GOTERM_BP_DIRECT	GO:0030154~cell differentiation	35	12.773722627737227	3.632972066097892E-9	SEMA5A, NOTCH2, SEMA5B, DLX1, DLX2, NOTCH1, TENM4, SEMA3C, NXN, LRP4, COL19A1, GLI2, NEUROD1, MDK, PRDM16, ZIC1, RGS20, QK, OTX2, HES5, NKX2-2, EOMES, SYT4, CADM1, TESC, PAX6, BMP7, SOX10, DLK1, GADD45G, CIT, CDK6, ZEB1, SMOC1, NEUROG2	253	780	18082	3.207003141785751	7.458463785470215E-6	8.287212946332192E-7	7.907769197206412E-7
GOTERM_BP_DIRECT	GO:0007411~axon guidance	15	5.474452554744526	2.2197598114823014E-8	SEMA5A, TGFB2, SEMA3C, DLX5, PAX6, NTN1, BMP7, GLI3, GLI2, FLRT2, LMX1A, BOC, GAS1, OTX2, NEUROG2	253	149	18082	7.195002254821339	4.5570631017843866E-5	4.557166892973165E-6	4.348509470693829E-6
